# File: Ref_veg_carbon_Mg_per_ha.csv
# Title: Reference veg and soil C density for HYDE land cells
# Units: Mg/ha
# Author: moirai
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area
# Source: https://github.com/JGCRI/moirai
# Column types: ciicnnnnnn
# ----------
iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
afg,97,1201,veg_c (above ground biomass),1,1,0,2,1,1
afg,97,1201,veg_c (below ground biomass),2,1,1,5,1,2
afg,97,1202,soil_c (0-30 cms),27,30,10,200,20,50
afg,97,1202,veg_c (above ground biomass),1,1,0,2,1,1
afg,97,1202,veg_c (below ground biomass),1,1,1,4,1,2
afg,97,1205,soil_c (0-30 cms),127,30,10,200,20,50
afg,97,1205,veg_c (above ground biomass),1,0,0,1,0,1
afg,97,1205,veg_c (below ground biomass),2,2,1,5,2,2
afg,97,1207,soil_c (0-30 cms),121,30,10,200,20,50
afg,97,1207,veg_c (above ground biomass),1,0,0,1,0,1
afg,97,1207,veg_c (below ground biomass),2,2,1,5,2,2
afg,97,1401,soil_c (0-30 cms),11,10,10,130,10,10
afg,97,1401,veg_c (below ground biomass),1,1,1,5,1,1
afg,97,1402,soil_c (0-30 cms),11,10,10,130,10,10
afg,97,1402,veg_c (below ground biomass),1,1,1,5,1,1
afg,97,1405,soil_c (0-30 cms),17,10,10,130,10,10
afg,97,1405,veg_c (below ground biomass),1,1,1,5,1,1
afg,97,1407,soil_c (0-30 cms),18,10,10,130,10,10
afg,97,1407,veg_c (below ground biomass),1,1,1,5,1,1
afg,102,1201,soil_c (0-30 cms),10,10,10,30,10,20
afg,102,1201,veg_c (below ground biomass),1,0,0,2,1,1
afg,102,1202,soil_c (0-30 cms),5,10,10,30,10,20
afg,102,1401,soil_c (0-30 cms),10,10,10,20,10,10
afg,102,1401,veg_c (below ground biomass),1,1,1,1,1,1
afg,102,1402,soil_c (0-30 cms),11,10,10,20,10,10
afg,102,1402,veg_c (below ground biomass),1,1,1,1,1,1
ago,162,101,soil_c (0-30 cms),92,90,40,220,80,100
ago,162,101,veg_c (above ground biomass),58,107,3,180,107,122
ago,162,101,veg_c (below ground biomass),15,28,1,47,28,32
ago,162,102,soil_c (0-30 cms),90,90,40,220,80,100
